"star1","imdb_rating","meta_score"
"Mayumi Izuka","7.6",90
"Jon Bernthal","7.6",82
"Evan McGuire","7.6",81
"Ernest Borgnine","7.9",97
"Yûko Miyamura","8.1",76
"Patrick Renna","7.8",55
"James Caan","7.8",75
"Rod Steiger","8.0",69
"Valentin Zubkov","8.1",76
"Emma Thompson","7.8",84
"Annalise Basso","7.9",72
"Danny Glover","7.6",46
"Elsa Lanchester","7.8",95
"Jamie Foxx","7.7",73
"Margarita Terekhova","8.1",76
"Geoffrey Arend","7.7",76
"Emi Shinohara","7.9",76
"Ethan Hawke","7.8",83
"Akira Ishihama","8.6",85
"Sushant Singh Rajput","7.7",40
"Bruno Ganz","8.0",79
"Marilyn Monroe","8.2",98
"Marlon Wayans","8.3",68
"Josh Charles","8.1",79
"Mia Farrow","8.0",96
"In-mun Kim","8.0",76
"Dean-Charles Chapman","8.3",78
"Paresh Rawal","8.1",76
"Sam Worthington","8.1",71
"Benicio Del Toro","7.6",82
"Husnija Hasimovic","8.2",76
"Rana Daggubati","8.0",76
"Reginald Gardiner","8.4",76
"Fionnula Flanagan","7.6",74
"Ian McKellen","7.9",75
"Kristina Adolphson","8.1",100
"June Squibb","7.7",87
"Anne Dorval","8.1",74
"Kemp Powers","8.1",83
"Jay Baruchel","7.8",76
"Gena Rowlands","7.8",68
"Kimberly Stringer","7.9",92
"Aamir Khan","8.4",76
"Damian Chapa","8.0",47
"Anjelica Huston","7.6",76
"Nisa Sofiya Aksongur","8.3",76
"Chris Pratt","7.7",83
"Joseph Gordon-Levitt","7.6",73
"Elijah Wood","8.7",87
"Ralph Meeker","8.4",90
"James Woods","8.4",76
"Tom Hardy","7.8",94
"Mario Casas","8.1",76
"Ziyi Zhang","7.9",85
"Debbie Reynolds","8.3",99
"Brad Pitt","8.8",66
"Linda Larkin","8.0",86
"Scott Glenn","7.8",91
"John Goodman","8.1",71
"Michael Ansara","8.2",76
"Judi Dench","7.7",81
"William Hurt","7.6",66
"Jack Lemmon","7.7",82
"George Segal","8.0",75
"Sean Young","8.1",84
"Amit Sadh","7.7",40
"Robert Downey Jr.","7.8",75
"Elizabeth Berridge","8.3",88
"Rupert Grint","7.6",64
"Christopher Plummer","8.0",63
"Shahid Kapoor","7.9",76
"Indraneil Sengupta","8.1",76
"Miyu Irino","8.1",78
"Chris Sanders","8.1",75
"Talia Shire","8.1",70
